track_id,track_name,artist_name,album_name,popularity,track_uri
25CfEf59PmRAhV18oZRMNr,Qué Pecao,Manuel Turizo,201,73,spotify:track:25CfEf59PmRAhV18oZRMNr
5jf0PmPCHefQ78uAzqIqbj,Una Lady Como Tú,Manuel Turizo,ADN,73,spotify:track:5jf0PmPCHefQ78uAzqIqbj
1WH3iquIQXnSPwUzlROT8R,Quiéreme Mientras Se Pueda,Manuel Turizo,Dopamina,74,spotify:track:1WH3iquIQXnSPwUzlROT8R
1Kgyx7NLtzsa3gWV1efGHu,Sexy Movimiento,Wisin & Yandel,"Wisin Vs Yandel ""Los Extraterrestres""",79,spotify:track:1Kgyx7NLtzsa3gWV1efGHu
1kQqiC1rS1FiuVpeBKN0QN,Rakata,Wisin & Yandel,Pa'l Mundo,78,spotify:track:1kQqiC1rS1FiuVpeBKN0QN
614NVFo5csQqRnryl4jXs2,El Telefono,"Héctor ""El Father""",The Bad Boy,76,spotify:track:614NVFo5csQqRnryl4jXs2
7JVIiaJPFiZypYSOMREhhA,Me Estas Tentando,Wisin & Yandel,La Revolucion (Deluxe),77,spotify:track:7JVIiaJPFiZypYSOMREhhA
6Zdjh0uRQPt22BPckJgvEj,Abusadora,Wisin & Yandel,La Revolucion (Deluxe),75,spotify:track:6Zdjh0uRQPt22BPckJgvEj
4kAtRwNRLMKuoCbxMSxUGI,Noche De Sexo,Wisin & Yandel,Pa'l Mundo,77,spotify:track:4kAtRwNRLMKuoCbxMSxUGI
6d8owCU2kQ63h5bB8YYjv3,Pam Pam,Wisin & Yandel,Juntos Otra Vez,75,spotify:track:6d8owCU2kQ63h5bB8YYjv3
2FqoR7diymD1Eh7cVb3DMg,Algo Me Gusta De Ti,Wisin & Yandel,Líderes,76,spotify:track:2FqoR7diymD1Eh7cVb3DMg
3E2jVBZU7fjRNB0m3PrrhF,Nadie Como Tu,Wisin & Yandel,Wisin Y Yandel Presentan: Los Vaqueros,73,spotify:track:3E2jVBZU7fjRNB0m3PrrhF
6ksWMnPcHNyNoNf3y1BQCO,Noche De Entierro,Daddy Yankee,Mas Flow - Los Benjamins,76,spotify:track:6ksWMnPcHNyNoNf3y1BQCO
2a1o6ZejUi8U3wzzOtCOYw,Danza Kuduro,Don Omar,Meet The Orphans,86,spotify:track:2a1o6ZejUi8U3wzzOtCOYw
69Ej1xrGjOcHvIMtMKxK0G,Dile,Don Omar,The Last Don,85,spotify:track:69Ej1xrGjOcHvIMtMKxK0G
48NXpYRuvv9izul4oXhqS9,Salió El Sol,Don Omar,King Of Kings,83,spotify:track:48NXpYRuvv9izul4oXhqS9
5nJaS3PEpyPfaWiLxIGtRX,Virtual Diva,Don Omar,iDon,78,spotify:track:5nJaS3PEpyPfaWiLxIGtRX
4f49sFQko7jHLEFd3tCf5p,Ojitos Chiquitos,Don Omar,King Of Kings,80,spotify:track:4f49sFQko7jHLEFd3tCf5p
79zvVrn65ksbiGQxrtV4I5,Guaya Guaya,Don Omar,The Last Don II,80,spotify:track:79zvVrn65ksbiGQxrtV4I5
4cyYC67XY3weSVmSLdKLP8,Taboo,Don Omar,Meet The Orphans,78,spotify:track:4cyYC67XY3weSVmSLdKLP8
2oJH69cuNyWpCmZyTmvrEN,Dutty Love,Don Omar,Don Omar Presents MTO2: New Generation,78,spotify:track:2oJH69cuNyWpCmZyTmvrEN
0BenZn1xELuxhb7Pjwyjxv,Hooka,Don Omar,Meet The Orphans,78,spotify:track:0BenZn1xELuxhb7Pjwyjxv
1PZrHbJjt5t7dP9OGRxcD0,Dale Don Dale,Don Omar,The Last Don,77,spotify:track:1PZrHbJjt5t7dP9OGRxcD0
5YJ4BVvTFmVCxUyhKejHfR,Pa' Que Retozen,Tego Calderón,El Abayarde,81,spotify:track:5YJ4BVvTFmVCxUyhKejHfR
2pr7niU3YfbVMQZxzsXubr,Bandoleros,Don Omar,Los Bandoleros,70,spotify:track:2pr7niU3YfbVMQZxzsXubr
388YhDYxPvaDIZQHWqpB4E,Punto y Aparte,Tego Calderón,Rompe La Discoteca,75,spotify:track:388YhDYxPvaDIZQHWqpB4E
0n5QBi4Lj3SPIq3dKNLISF,"Oye Mi Canto (with Tego Calderón, Nina Sky, Gemstar, Big Mato) - Clean Mix",N.O.R.E.,Oye Mi Canto (Reggaeton Mix),53,spotify:track:0n5QBi4Lj3SPIq3dKNLISF
49vwUeeauJgEQxDViXA01C,Al Natural (feat. Yandel),Tego Calderón,El Enemy de Los Guasíbiri,73,spotify:track:49vwUeeauJgEQxDViXA01C
0TGXhbsTJ1LohY8HvmxSvT,Metele Sazón,Tego Calderón,Regaetton Hits,57,spotify:track:0TGXhbsTJ1LohY8HvmxSvT
45IOnEpVUdxWUZFqpZ7Xvz,Dominicana,Tego Calderón,El Abayarde,67,spotify:track:45IOnEpVUdxWUZFqpZ7Xvz
16KDdey3vnSBWwqUZoe1cT,Quitate Tu Pa Ponerme Yo,Eddie Dee,12 Discipulos,64,spotify:track:16KDdey3vnSBWwqUZoe1cT
7KKh0ujp8agIiCrkiJhf81,Jangueo,Anuel AA,Emmanuel,64,spotify:track:7KKh0ujp8agIiCrkiJhf81
5F9UDD7ZNbmyRFYyb4qF2z,La Receta,Tego Calderón,La Receta,63,spotify:track:5F9UDD7ZNbmyRFYyb4qF2z
1pLCpA1RN8avJxSD3ZCwhj,Pa' Que La Pases Bien,Arcángel,El Fenomeno,80,spotify:track:1pLCpA1RN8avJxSD3ZCwhj
6NSMQFKgjpQb0KkjMDYIK0,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcángel,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),80,spotify:track:6NSMQFKgjpQb0KkjMDYIK0
2mnXxnrX5vCGolNkaFvVeM,La Jumpa,Arcángel,Sr. Santos,72,spotify:track:2mnXxnrX5vCGolNkaFvVeM
2amAkuq2kUFgo87zQLMorw,Hace Mucho Tiempo,Arcángel,"Sentimiento, Elegancia y Maldad",25,spotify:track:2amAkuq2kUFgo87zQLMorw
6K5BsR04ijf3FHNzjbaagD,Si Se Da - Remix,Myke Towers,Si Se da Remix,77,spotify:track:6K5BsR04ijf3FHNzjbaagD
3GhmL9fuM8jwGcHCFbeo3v,Me Prefieres A Mi,Arcángel,Me Prefieres A Mi,77,spotify:track:3GhmL9fuM8jwGcHCFbeo3v
6TZXBJLTIOX6DM6hwCsKw2,Me Ama Me Odia,Revol,Me Ama Me Odia,76,spotify:track:6TZXBJLTIOX6DM6hwCsKw2
6pXo0WoRNLSid8mbpmJ4Wz,Por Vos,Arcángel,Por Vos,75,spotify:track:6pXo0WoRNLSid8mbpmJ4Wz
32hCeeK3ayPux4UauNPsgA,ALV,Arcángel,"Sentimiento, Elegancia y Más Maldad",74,spotify:track:32hCeeK3ayPux4UauNPsgA
2FIm6YsSGL5acOqSuJDh5s,Me Acostumbre (feat. Bad Bunny),Arcángel,Me Acostumbre (feat. Bad Bunny),74,spotify:track:2FIm6YsSGL5acOqSuJDh5s
20pJKlNIU3J1CrvhBr1kQ8,La Ocasión,DJ Luian,La Ocasión,77,spotify:track:20pJKlNIU3J1CrvhBr1kQ8
5DHQHPQ8Tn8xwUWDoZRXHS,Sensacion Del Bloque,De La Ghetto,Clásicos del Reguetón,76,spotify:track:5DHQHPQ8Tn8xwUWDoZRXHS
5lr877wwUsB8inLGywHKxa,Caile,Bad Bunny,Caile,76,spotify:track:5lr877wwUsB8inLGywHKxa
0hzO3OqNIPCwRKxvwBdtjS,"ACEITE DE COCO (feat. Ryan Castro, De La Ghetto, Darell, Sahir, Hades66, Kris R.)",Blessd,"ACEITE DE COCO (feat. Ryan Castro, De La Ghetto, Darell, Sahir, Hades66, Kris R.)",75,spotify:track:0hzO3OqNIPCwRKxvwBdtjS
737gzPI5VAmgUGWiJ9yXuu,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,Mal De Amores,67,spotify:track:737gzPI5VAmgUGWiJ9yXuu
4DxbTPS1DUzTKzpNfCbYjy,AMANECIÓ,Quevedo,BUENAS NOCHES,71,spotify:track:4DxbTPS1DUzTKzpNfCbYjy
1C7lXfx4Y5maVl4AgUVlHA,ACHO PR,Bad Bunny,nadie sabe lo que va a pasar mañana,71,spotify:track:1C7lXfx4Y5maVl4AgUVlHA
33VIvWmmCUgix6Htm1WdOJ,FARDOS,JC Reyes,FARDOS,70,spotify:track:33VIvWmmCUgix6Htm1WdOJ
6wtZPYBIXUvCpXwVjMCJBf,ULTRA SOLO REMIX,Polimá Westcoast,ULTRA SOLO REMIX,70,spotify:track:6wtZPYBIXUvCpXwVjMCJBf
3MBNAfBXIq9fI2Sez8EcNX,Si Quieren Frontear,Duki,Temporada de Reggaetón 2,61,spotify:track:3MBNAfBXIq9fI2Sez8EcNX
0fOjPUdkQjLH0aoGa5p5h4,Esclava - Remix,Bryant Myers,Esclava (Remix),80,spotify:track:0fOjPUdkQjLH0aoGa5p5h4
0P05ImgE7sHrQIq9bSvyv5,Como Panas,Bryant Myers,Bendecido,77,spotify:track:0P05ImgE7sHrQIq9bSvyv5
7quuwATpqJ08SMd21aXLVM,Hasta Que Me Muera,Bryant Myers,Hasta Que Me Muera,77,spotify:track:7quuwATpqJ08SMd21aXLVM
6pnzUCBMwMT5rvx6PyhusZ,Triste,Bryant Myers,La Oscuridad,77,spotify:track:6pnzUCBMwMT5rvx6PyhusZ
76GPCCO2Qy5d68vSpAcliC,Killa,Bryant Myers,Killa,77,spotify:track:76GPCCO2Qy5d68vSpAcliC
18Eb38xeQJQxs0R3n3VBQa,Narcotics (with Bryant Myers),Dei V,Quién es Dei V?,73,spotify:track:18Eb38xeQJQxs0R3n3VBQa
4PEfJZpVjdclfzZ9XO8uDw,HASTA ABAJO,KEVIN ROLDAN,KrING,74,spotify:track:4PEfJZpVjdclfzZ9XO8uDw
2SzgK8i6si6ETtu57nTdSn,Un Ratito Mas,Bryant Myers,Un Ratito Mas,75,spotify:track:2SzgK8i6si6ETtu57nTdSn
4phvdPGXE8MGXsTBhqB5ht,Suave (Remix),El Alfa,El Hombre,72,spotify:track:4phvdPGXE8MGXsTBhqB5ht
1BIXs6CdkPRLytuqoXs6XN,4K,El Alfa,4K,78,spotify:track:1BIXs6CdkPRLytuqoXs6XN
5lZaM4985p0t3YfizlQWUz,Asesina,Brytiago,Asesina,75,spotify:track:5lZaM4985p0t3YfizlQWUz
7q3NthaBqFI6s0WnAlnIvq,Velitas,Darell,Velitas,74,spotify:track:7q3NthaBqFI6s0WnAlnIvq
1Ej96GIBCTvgH7tNX1r3qr,Otro Trago,Sech,Sueños,72,spotify:track:1Ej96GIBCTvgH7tNX1r3qr
7bugn9Xif6VHCLco3PIZc5,NUBES,Ovy On The Drums,NUBES,70,spotify:track:7bugn9Xif6VHCLco3PIZc5
3cDyocF0Ibdfs1SFQk5cLZ,Lollipop,Darell,EVERYBODY GO TO THE DISCOTEK,71,spotify:track:3cDyocF0Ibdfs1SFQk5cLZ
42FWqCxAw5aG1FvjyVjIlH,Te Boté,Darell,Te Boté (Clean Version),69,spotify:track:42FWqCxAw5aG1FvjyVjIlH
63EJDEfcZwwRlPt5qEWPjV,Ojala,Bryant Myers,La Oscuridad,66,spotify:track:63EJDEfcZwwRlPt5qEWPjV
3DnsKpEA4oIlsmIW8vIvSf,Lollipop - Remix,Darell,Darell 2024,51,spotify:track:3DnsKpEA4oIlsmIW8vIvSf
6OCNg7QchXJMww1LHMjIzb,Hiekka,Nicky Jam,Hiekka,80,spotify:track:6OCNg7QchXJMww1LHMjIzb
5Fim1gaXBgsiFfsQAfQSDS,Hasta el Amanecer,Nicky Jam,Fénix,79,spotify:track:5Fim1gaXBgsiFfsQAfQSDS
7qCAVkHWZkF44OzOUKf8Cr,El Perdón (with Enrique Iglesias),Nicky Jam,Fénix,78,spotify:track:7qCAVkHWZkF44OzOUKf8Cr
5g54T6doN39ejttzpz0uq1,CALOR,Nicky Jam,INSOMNIO,73,spotify:track:5g54T6doN39ejttzpz0uq1
2Eg6dOam7cAe5turf2bnCg,En La Cama (feat. Daddy Yankee),Nicky Jam,Exitos,76,spotify:track:2Eg6dOam7cAe5turf2bnCg
